"Órgão (Cod)";"Órgão";"UO (Cod)";"UO";"Função (Cod)";"Função";"Subfunção (Cod)";"Subfunção";"GND (Cod)";"GND";"Autorizado";"Pago";"RP Pago"
"14000";"JUSTICA ELEITORAL";"14117";"TRIBUNAL REGIONAL ELEITORAL DE PERNAMBUCO";"02";"JUDICIARIA";"122";"ADMINISTRACAO GERAL";"1";"PESSOAL E ENCARGOS SOCIAIS";"114168239";"112060860.54";"1003829.78"
"24000";"MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO";"24207";"NUCLEBRÁS EQUIPAMENTOS PESADOS S.A. - NUCLEP";"19";"CIENCIA E TECNOLOGIA";"122";"ADMINISTRACAO GERAL";"1";"PESSOAL E ENCARGOS SOCIAIS";"157333768";"155355069.44";"355265.18"
"30000";"MINISTERIO DA JUSTICA";"30101";"MINISTÉRIO DA JUSTIÇA";"14";"DIREITOS DA CIDADANIA";"122";"ADMINISTRACAO GERAL";"1";"PESSOAL E ENCARGOS SOCIAIS";"25045146";"24083439.92";"2696.4"
"20000";"PRESIDENCIA DA REPUBLICA";"20126";"SECRETARIA DE POLÍTICAS DE PROMOÇÃO DA IGUALDADE RACIAL";"14";"DIREITOS DA CIDADANIA";"122";"ADMINISTRACAO GERAL";"1";"PESSOAL E ENCARGOS SOCIAIS";"5454189";"5139129.41";"4196.36"
"39000";"MINISTERIO DOS TRANSPORTES";"39251";"AGÊNCIA NACIONAL DE TRANSPORTES AQUAVIÁRIOS - ANTAQ";"26";"TRANSPORTE";"122";"ADMINISTRACAO GERAL";"1";"PESSOAL E ENCARGOS SOCIAIS";"63823345";"61769151.39";"749813.53"
"90000";"RESERVA DE CONTINGENCIA";"90000";"RESERVA DE CONTINGÊNCIA";"99";"RESERVA DE CONTINGENCIA";"999";"RESERVA DE CONTINGENCIA";"9";"RESERVA DE CONTINGENCIA";"2575488395";"0";"0"
"20000";"PRESIDENCIA DA REPUBLICA";"20118";"AGÊNCIA BRASILEIRA DE INTELIGÊNCIA - ABIN";"06";"SEGURANCA PUBLICA";"122";"ADMINISTRACAO GERAL";"1";"PESSOAL E ENCARGOS SOCIAIS";"305832740";"294165467.41";"130811.07"
"52000";"MINISTERIO DA DEFESA";"52111";"COMANDO DA AERONÁUTICA";"05";"DEFESA NACIONAL";"122";"ADMINISTRACAO GERAL";"1";"PESSOAL E ENCARGOS SOCIAIS";"4148057025";"4100275235.48";"476311.27"
"14000";"JUSTICA ELEITORAL";"14115";"TRIBUNAL REGIONAL ELEITORAL DA PARAÍBA";"02";"JUDICIARIA";"122";"ADMINISTRACAO GERAL";"1";"PESSOAL E ENCARGOS SOCIAIS";"66851522";"66806874.27";"0"
"16000";"JUSTICA DO DISTRITO FEDERAL E DOS TERRITORIOS";"16101";"TRIBUNAL DE JUSTIÇA DO DISTRITO FEDERAL";"02";"JUDICIARIA";"122";"ADMINISTRACAO GERAL";"1";"PESSOAL E ENCARGOS SOCIAIS";"1161095858";"1141477384.04";"2099628.13"
"14000";"JUSTICA ELEITORAL";"14119";"TRIBUNAL REGIONAL ELEITORAL DO RIO DE JANEIRO";"02";"JUDICIARIA";"122";"ADMINISTRACAO GERAL";"1";"PESSOAL E ENCARGOS SOCIAIS";"216082036";"212135649.84";"3782135.11"
"20000";"PRESIDENCIA DA REPUBLICA";"20107";"SECRETARIA DE AVIAÇÃO CIVIL";"26";"TRANSPORTE";"122";"ADMINISTRACAO GERAL";"1";"PESSOAL E ENCARGOS SOCIAIS";"9538899";"7590735.79";"0"
"03000";"TRIBUNAL DE CONTAS DA UNIAO";"03101";"TRIBUNAL DE CONTAS DA UNIÃO";"01";"LEGISLATIVA";"122";"ADMINISTRACAO GERAL";"1";"PESSOAL E ENCARGOS SOCIAIS";"753237024";"747849109.62";"2365644.86"
"15000";"JUSTICA DO TRABALHO";"15105";"TRIBUNAL REGIONAL DO TRABALHO DA 4A. REGIÃO - RIO GRANDE DO SUL";"02";"JUDICIARIA";"122";"ADMINISTRACAO GERAL";"1";"PESSOAL E ENCARGOS SOCIAIS";"662360746";"655686619.75";"22992.23"
"15000";"JUSTICA DO TRABALHO";"15111";"TRIBUNAL REGIONAL DO TRABALHO DA 10A. REGIÃO - DISTRITO FEDERAL/TOCANTINS";"02";"JUDICIARIA";"122";"ADMINISTRACAO GERAL";"1";"PESSOAL E ENCARGOS SOCIAIS";"276942214";"271541629.67";"0"
"22000";"MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO";"22101";"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO";"20";"AGRICULTURA";"122";"ADMINISTRACAO GERAL";"1";"PESSOAL E ENCARGOS SOCIAIS";"1655266605";"1630667443.99";"0"
"56000";"MINISTERIO DAS CIDADES";"56101";"MINISTÉRIO DAS CIDADES";"28";"ENCARGOS ESPECIAIS";"845";"OUTRAS TRANSFERENCIAS";"3";"OUTRAS DESPESAS CORRENTES";"375893498";"0";"7341936023.49"
"26000";"MINISTERIO DA EDUCACAO";"26351";"UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA";"12";"EDUCACAO";"364";"ENSINO SUPERIOR";"4";"INVESTIMENTOS";"26800527";"6350763.47";"18226562.02"
"26000";"MINISTERIO DA EDUCACAO";"26419";"INSTITUTO FEDERAL DO RIO GRANDE DO SUL";"12";"EDUCACAO";"363";"ENSINO PROFISSIONAL";"4";"INVESTIMENTOS";"45010639";"5475068.69";"12655797.03"
"26000";"MINISTERIO DA EDUCACAO";"26410";"INSTITUTO FEDERAL DO NORTE DE MINAS GERAIS";"12";"EDUCACAO";"122";"ADMINISTRACAO GERAL";"1";"PESSOAL E ENCARGOS SOCIAIS";"8825996";"8528952.49";"0"
"26000";"MINISTERIO DA EDUCACAO";"26240";"UNIVERSIDADE FEDERAL DA PARAÍBA";"12";"EDUCACAO";"306";"ALIMENTACAO E NUTRICAO";"3";"OUTRAS DESPESAS CORRENTES";"17967000";"17936051.68";"0"
"26000";"MINISTERIO DA EDUCACAO";"26250";"FUNDAÇÃO UNIVERSIDADE FEDERAL DE RORAIMA";"12";"EDUCACAO";"361";"ENSINO FUNDAMENTAL";"3";"OUTRAS DESPESAS CORRENTES";"0";"0";"150467.6"
"26000";"MINISTERIO DA EDUCACAO";"26387";"HOSPITAL UNIVERSITÁRIO DA UNIVERSIDADE FEDERAL DE SANTA MARIA";"12";"EDUCACAO";"331";"PROTECAO E BENEFICIOS AO TRABALHADOR";"3";"OUTRAS DESPESAS CORRENTES";"425115";"128583.41";"0"
"26000";"MINISTERIO DA EDUCACAO";"26239";"UNIVERSIDADE FEDERAL DO PARÁ";"12";"EDUCACAO";"363";"ENSINO PROFISSIONAL";"3";"OUTRAS DESPESAS CORRENTES";"0";"0";"287892.91"
